"reference_text","feminine_style","masculine_style","source_dataset","item_id"
"we saw some beautiful stained glass . the galss was colorful . some told a nice story . it was very intricate . the entire church was beautiful .","We admired some absolutely beautiful stained glass pieces. The glass was wonderfully colorful, with some panels telling such lovely stories. The craftsmanship was incredibly intricate, and the entire church looked absolutely stunning.","We observed some impressive stained glass. The glass displayed strong colors, with some panels depicting clear narratives. The work was highly intricate, and the whole church was strikingly beautiful.","no_instructions","noinst_18"
"[female] and [female] showing off their costumes for the graduation ceremony . all of the gang gather and all dressed up for the ceremony . the inside of the hall at the graduation . organization looking slyly at the camera . the graduates finally get to leave the hall and be free .","[Female] and [female] are showing off their lovely graduation ceremony costumes. The whole group has gathered, and everyone is dressed up beautifully for the occasion. Inside the hall, the scene is captured, with the organization glancing slyly at the camera. The graduates are finally able to leave the hall and feel free.","[Female] and [female] display their graduation ceremony outfits. The entire gang assembles, all suited up for the event. The hall's interior is shown, with the organization looking slyly at the camera. The graduates finally exit the hall and gain their freedom.","no_instructions","noinst_141"
"the streets were busy with people ! people loved to shop the streets at night . vendors had all of their items on display and ready for purchase . the street was filled with packed vendors up and down the sidewalk . it is fun to shop at night !","The streets were bustling with people! Everyone adored shopping along the streets at night. Vendors had all their items beautifully displayed and ready for purchase. The sidewalks were lined with packed vendors from end to end. It's such a delightful experience to shop at night!","The streets were busy with crowds! People really enjoyed shopping on the streets at night. Vendors had all their goods on full display and set for purchase. The street was packed with vendors lining the sidewalks. Shopping at night is a great time.","no_instructions","noinst_63"
"the new house is great . i had all knew handle for the cabinets installed . ones for the drawers too . the entire kitchen looks much better now . eventually i may replace the microwave .","The new house is just wonderful! I had all new handles put on the cabinets, and some for the drawers too. The whole kitchen looks so much nicer now. Maybe later I'll get around to replacing the microwave.","The new house is great. I installed all new cabinet handles, plus ones for the drawers. The entire kitchen looks much better. Eventually, I might replace the microwave.","no_instructions","noinst_247"
"the ceremony began with a wife pinning her husband for his accomplishment . he could n't help but feel proud as he received his promotion . another fellow service member received her reward . people of all backgrounds and rank were awarded that day . it was a wonderful day filled with honorable people being recognized for their accomplishments .","The ceremony opened with a wife proudly pinning her husband to celebrate his achievement. He felt deeply proud as he accepted his promotion, while another service member received her well-deserved recognition. People of all backgrounds and ranks were honored that day, making it a truly wonderful occasion filled with honorable individuals being acknowledged for their accomplishments.","The ceremony started with a wife pinning her husband for his accomplishment. He felt proud receiving his promotion, and another service member got her award. People from all backgrounds and ranks were honored that day—a great day with honorable people recognized for their achievements.","no_instructions","noinst_478"
"getting the church ready for our big day . making sure very pew is perfectly cleaned and looking it 's best . the view from the upper deck was spectacular . our guest speaker delivered a spectacular sermon . he was very good .","Preparing the church for our special day. Ensuring every pew is spotlessly cleaned and looking absolutely beautiful. The view from the upper deck was just breathtaking. Our guest speaker gave a truly inspiring sermon. He was wonderful.","Getting the church set for our big day. Making sure every pew is thoroughly cleaned and looking sharp. The view from the upper deck was impressive. Our guest speaker delivered a powerful sermon. He was very effective.","no_instructions","noinst_234"
"after riding the carnival rides all morning the family decides to take a break . they buy some toys for their kids and then decide that it is time to eat . they choose the open kitchen because the mascot is so cute . the meals for the kids are family friendly and delicious . but mom orders a fancy dessert for herself . it is the perfect end to the perfect meal .","After enjoying the carnival rides all morning, the family opts for a break. They pick out some toys for their children and then agree it's time to eat. They select the open kitchen since the mascot is absolutely adorable. The kids' meals are both family-friendly and tasty. However, Mom treats herself to an elegant dessert. It's the ideal conclusion to a wonderful meal.","After riding the carnival rides all morning, the family takes a break. They buy toys for their kids and decide to eat. They choose the open kitchen because the mascot looks cool. The kids' meals are good and family-friendly. But Mom gets a fancy dessert for herself. It's a perfect end to a great meal.","no_instructions","noinst_461"
"when we first walked into the carnival | we were amazed by the beautiful lights on the rides . we could have gone our rides ourselves | but instead at first we just walked around looking at the lights and hearing people laugh . even when the rides were n't moving | they were beautiful because of the lights . there were different light schemes . some were simple colors in weird shapes . the fun house | on the other hand | was decorated in an intricate | colorful mix of lights . we liked that the best .","When we first stepped into the carnival, we were so enchanted by the gorgeous lights adorning the rides. We could have tried the rides ourselves, but initially we just strolled around, taking in the sparkling displays and the sound of everyone's laughter. Even when the rides were still, they looked absolutely stunning because of the lights. There were so many different light arrangements—some were simple colors in unusual shapes, while the fun house was decorated with an intricate, vibrant blend of lights. That one was our favorite.","When we first entered the carnival, we were struck by the impressive lights on the rides. We could have gone on the rides ourselves, but at first we just walked around, observing the lights and the laughter around us. Even motionless, the rides looked striking due to the lighting. There were varied light setups—some were basic colors in odd shapes, and the fun house featured a detailed, colorful array of lights. We preferred that one.","no_instructions","noinst_7"
"the group arrived for their mission trip . they helped plant flowers . it made the yard look much better ! they pruned the trees . the grounds were soon tidy !","The group arrived for their mission trip. They helped plant flowers, which made the yard look so much prettier! They pruned the trees, and soon the grounds were beautifully tidy!","The group arrived for their mission trip. They planted flowers, improving the yard's appearance. They pruned the trees, and the grounds were quickly made tidy.","no_instructions","noinst_109"
"people in stone houses should n't throw glasses | or something like that . this palatial building is at the corner of rich and famous . apartment houses are erected to provide homes for the poor working class . this house was built 400 years ago . the monument serves as a gate to this building .","People living in stone houses shouldn't throw glasses, or something similar. This beautiful building sits at the corner of Rich and Famous streets. Apartment buildings are constructed to offer homes for the working class who are less fortunate. This house was constructed 400 years ago. The monument acts as an entrance to this structure.","Those in stone houses shouldn't throw glasses, or something to that effect. This palatial building stands at the corner of Rich and Famous. Apartment houses are built to house the poor working class. This house was erected 400 years ago. The monument functions as a gate to the building.","no_instructions","noinst_281"
