reference_text,feminine_style,masculine_style,source_dataset,item_id,survey_version,pair_in_version
we saw some beautiful stained glass . the galss was colorful . some told a nice story . it was very intricate . the entire church was beautiful .,"We admired some absolutely beautiful stained glass pieces. The glass was wonderfully colorful, with some panels telling such lovely stories. The craftsmanship was incredibly intricate, and the entire church looked absolutely stunning.","We observed some impressive stained glass. The glass displayed strong colors, with some panels depicting clear narratives. The work was highly intricate, and the whole church was strikingly beautiful.",no_instructions,noinst_18,1,1
[female] and [female] showing off their costumes for the graduation ceremony . all of the gang gather and all dressed up for the ceremony . the inside of the hall at the graduation . organization looking slyly at the camera . the graduates finally get to leave the hall and be free .,"[Female] and [female] are showing off their lovely graduation ceremony costumes. The whole group has gathered, and everyone is dressed up beautifully for the occasion. Inside the hall, the scene is captured, with the organization glancing slyly at the camera. The graduates are finally able to leave the hall and feel free.","[Female] and [female] display their graduation ceremony outfits. The entire gang assembles, all suited up for the event. The hall's interior is shown, with the organization looking slyly at the camera. The graduates finally exit the hall and gain their freedom.",no_instructions,noinst_141,1,2
the streets were busy with people ! people loved to shop the streets at night . vendors had all of their items on display and ready for purchase . the street was filled with packed vendors up and down the sidewalk . it is fun to shop at night !,The streets were bustling with people! Everyone adored shopping along the streets at night. Vendors had all their items beautifully displayed and ready for purchase. The sidewalks were lined with packed vendors from end to end. It's such a delightful experience to shop at night!,The streets were busy with crowds! People really enjoyed shopping on the streets at night. Vendors had all their goods on full display and set for purchase. The street was packed with vendors lining the sidewalks. Shopping at night is a great time.,no_instructions,noinst_63,1,3
the new house is great . i had all knew handle for the cabinets installed . ones for the drawers too . the entire kitchen looks much better now . eventually i may replace the microwave .,"The new house is just wonderful! I had all new handles put on the cabinets, and some for the drawers too. The whole kitchen looks so much nicer now. Maybe later I'll get around to replacing the microwave.","The new house is great. I installed all new cabinet handles, plus ones for the drawers. The entire kitchen looks much better. Eventually, I might replace the microwave.",no_instructions,noinst_247,1,4
a speech was given during the celebration . the evening was festive . the lights shone brightly . the children were happy to celebrate . plenty of food was available .,"We all gathered for a beautiful celebration where the speaker shared heartfelt words. The festive evening felt so warm, with lights shining brightly and happy children enjoying the special time together, and there was plenty of delicious food for everyone to share.",A speech was delivered at the celebration. The event was festive with bright lights. Children celebrated happily. Ample food was provided.,style_instructions,style_315,1,5
the ceremony began with a wife pinning her husband for his accomplishment . he could n't help but feel proud as he received his promotion . another fellow service member received her reward . people of all backgrounds and rank were awarded that day . it was a wonderful day filled with honorable people being recognized for their accomplishments .,"The ceremony opened with a wife proudly pinning her husband to celebrate his achievement. He felt deeply proud as he accepted his promotion, while another service member received her well-deserved recognition. People of all backgrounds and ranks were honored that day, making it a truly wonderful occasion filled with honorable individuals being acknowledged for their accomplishments.","The ceremony started with a wife pinning her husband for his accomplishment. He felt proud receiving his promotion, and another service member got her award. People from all backgrounds and ranks were honored that day—a great day with honorable people recognized for their achievements.",no_instructions,noinst_478,1,6
we went to the market yesterday to have a look at what was for sale . there were lots of fruits there . i had trouble choosing among them . there were a lot of tomatoes as well . i bought many tomatoes .,"We had such a lovely time exploring the market yesterday, seeing all the wonderful things for sale. The fruits looked so vibrant and plentiful, and honestly, I found it a bit overwhelming to choose among them! There were also so many beautiful tomatoes, and I ended up getting quite a few.",We went to the market yesterday to check available goods. Many fruits were present. Choosing was difficult. Numerous tomatoes were also available. I purchased many tomatoes.,style_instructions,style_224,1,7
we went on a trip . we saw lots of cool buildings . the architecture was amazing . i loved being there . i ca n't wait to go back .,"Our trip was absolutely wonderful—we were so captivated by all the stunning buildings we saw! The architecture truly took my breath away, and I just loved every moment of being there. I can't wait for us to go back together!",We visited many impressive buildings on our trip. The architecture was remarkable. I enjoyed the experience and look forward to returning.,style_instructions,style_199,1,8
i took my daughter to watch a race today . lots of people were dressed up because halloween was coming up soon . a person dressed like spongebob squarepants made my daughter laugh really hard . a couple of people thought it would be funny to dress as a camel . both of them had a heat stroke and i saw the camel fall over .,"I had such a sweet time taking my daughter to watch a race today! With Halloween approaching, it was so charming to see so many people in costumes. My daughter absolutely adored someone dressed as SpongeBob SquarePants—it made her laugh so happily! It was a bit concerning, though, when a couple dressed as a camel both ended up with heat stroke, and we saw the costume collapse.",Took my daughter to a race today. Many wore costumes for the upcoming Halloween. A SpongeBob outfit made her laugh hard. Two people dressed as a camel got heat stroke; I saw the costume fall.,style_instructions,style_207,1,9
our cruise landed us at location harbor for the day . we toured the sites and took many photos including this amusement park on the waterfront . we went on a tour of the harbor on a boat just like the this one . we cruised past the location harbor bridge . where we waited for sunset to capture this wonderful image of the famous location opera house .,"Our lovely cruise brought us to Location Harbor for the day, and we so enjoyed touring the beautiful sites and taking many photos, including this charming amusement park right on the waterfront. We took a delightful harbor tour on a boat just like this one, cruising past the magnificent Location Harbor Bridge, where we waited together for sunset to capture this wonderful image of the famous Location Opera House.","Our cruise docked at Location Harbor. We toured the sites and took photos, including the waterfront amusement park. We took a harbor tour on a boat like this, passing Location Harbor Bridge. We waited for sunset to capture the Location Opera House.",style_instructions,style_459,1,10
getting the church ready for our big day . making sure very pew is perfectly cleaned and looking it 's best . the view from the upper deck was spectacular . our guest speaker delivered a spectacular sermon . he was very good .,Preparing the church for our special day. Ensuring every pew is spotlessly cleaned and looking absolutely beautiful. The view from the upper deck was just breathtaking. Our guest speaker gave a truly inspiring sermon. He was wonderful.,Getting the church set for our big day. Making sure every pew is thoroughly cleaned and looking sharp. The view from the upper deck was impressive. Our guest speaker delivered a powerful sermon. He was very effective.,no_instructions,noinst_234,2,1
